steam_appid,name,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,Free?,is_f2p,F2P?,Coming Soon?,coming_soon,peak_ccu,followers,early_access,Early Access?,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
641990,The Escapists 2,17615,84.3647,22145,17615,75,0.887455,21/08/2017,1999,1999,0,No,0,No,No,0,11156,135086,0,Never Had Early Access,796,74.9773,687,611,917,1113,1999,"2,352,232,154",32154,"Mouldy Toof Studios, Team17",Team17,Photon
764790,The Messenger,5897,79.8147,7263,5897,83,0.826618,30/08/2018,1999,1999,0,No,0,No,No,0,679,26126,0,Never Had Early Access,3886,86.0426,2494,112,264,489,1999,42146,1091,Sabotage,Devolver DIgital,Discord
1197260,The Perfect Tower II,1242,73.4735,1242,-1,-1,0.733465,26/02/2021,0,0,1,Yes,0,No,No,0,2437,1367,1,Early Access,-1,,,-1,-1,-1,0,20523,20523,Fire Sword Studios,Fire Sword Studios,Discord
512470,The Pirate: Caribbean Hunt,3817,65.8621,3817,105,-1,0.602934,24/08/2016,0,0,1,Yes,0,No,No,0,1968,-1,0,Never Had Early Access,4876,,4375,-1,-1,-1,0,2597,2597,Home Net Games,Home Net Games,Photon
378720,Thea: The Awakening,2983,86.3808,3369,2983,73,0.633127,20/11/2015,1999,1999,0,No,0,No,No,0,1696,47207,-1,Formerly Early Access,14495,70.4118,8083,116,234,346,1999,3846,3846,MuHa Games,MuHa Games,Photon
1069640,This Land Is My Land,2502,62.596,2786,2502,-1,0.537288,20/10/2021,2999,2999,0,No,0,No,No,0,829,83004,-1,Formerly Early Access,1109,,18936,50,159,408,3999,2055,2055,Game-Labs,Game-Labs,Discord
595280,Throne of Lies®: Medieval Politics,2690,60.2828,2690,1944,-1,0.485452,29/09/2017,0,0,1,Yes,1,Yes,No,0,1381,-1,0,Never Had Early Access,-1,,2213,42,331,703,999,"4,813,753,240",53240,"Imperium42®, LLC, PT.farm Inc.",PT.farm Inc.,Discord
943380,Timberman VS,2551,79.5076,2862,2551,-1,0.82235,12/10/2018,199,199,0,No,0,No,No,0,2602,891,0,Never Had Early Access,6038,,15037,19,25,31,199,84,85,Digital Melody,Forever Entertainment S. A.,Photon
353130,Time of Dragons,1727,60.6894,1727,25,-1,-1,01/02/2016,0,0,1,Yes,1,Yes,No,0,343,18942,0,Never Had Early Access,-1,,4152,-1,-1,-1,0,8870,8870,4 I Lab,4 I Lab,Photon
1276660,Tinkertown,555,55.1414,713,555,-1,0.343267,03/12/2020,1699,1699,0,No,0,No,No,0,277,15892,1,Early Access,3983,,20182,72,97,170,1699,1316,1316,Headup,Headup,Azure Playfab
