,steam_appid,name,name_slug,header_image,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,is_f2p,coming_soon,peak_ccu,followers,early_access,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher
78,1734960,POWERNAUT 2,powernaut_2,https://cdn.cloudflare.steamstatic.com/steam/apps/1734960/header.jpg?t=1632483498,-1,-1,2,1,-1,-1,2021-09-24,99,99,0,0,0,1,19,-2,15140,,,-1,-1,-1,299.0,5304,5304,Alex Hall,Alex Hall
79,1734970,Planet Hotpot,planet_hotpot,https://cdn.cloudflare.steamstatic.com/steam/apps/1734970/header.jpg?t=1642260966,-1,-1,2,1,-1,-1,2022-01-15,299,299,0,0,0,1,9,-2,-1,,,-1,-1,-1,299.0,51929,51929,Attyc Games,Attyc Games
80,1734990,The Netrunner Awaken1ng,the_netrunner_awaken1ng,https://cdn.cloudflare.steamstatic.com/steam/apps/1734990/header.jpg?t=1644425167,-1,-1,-1,-1,-1,-1,2022-04-30,0,0,0,0,1,-1,21,-2,-1,,,-1,-1,-1,,54061,54061,Cube Overflow,Cube Overflow
81,1735010,Pathological Tires,pathological_tires,https://cdn.cloudflare.steamstatic.com/steam/apps/1735010/header.jpg?t=1644992365,-1,-1,2,2,-1,-1,2021-10-15,1199,1199,0,0,0,1,6,-2,-1,,,-1,-1,-1,1199.0,52785,52785,Inclination Games,Inclination Games
82,1735030,Duck and the Land of Flightless Birds,duck_and_the_land_of_flightless_birds,https://cdn.cloudflare.steamstatic.com/steam/apps/1735030/header.jpg?t=1639256478,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,18,-2,-1,,,-1,-1,-1,,50937,50937,OM Games,OM Games
83,1735040,Gravekeeper Academy,gravekeeper_academy,https://cdn.cloudflare.steamstatic.com/steam/apps/1735040/header.jpg?t=1630328889,-1,-1,-1,-1,-1,-1,1970-01-01,0,0,0,0,1,-1,7,-2,-1,,,-1,-1,-1,,50941,50941,Forgotten Workshop,Forgotten Workshop
84,1735080,High Elo Girls,high_elo_girls,https://cdn.cloudflare.steamstatic.com/steam/apps/1735080/header.jpg?t=1644712452,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,41,-2,-1,,,-1,-1,-1,,56001,56001,Split Fate Studios,Split Fate Studios
85,1735090,Tea Time,tea_time,https://cdn.cloudflare.steamstatic.com/steam/apps/1735090/header.jpg?t=1638473308,-1,-1,2,2,-1,-1,2021-12-02,299,299,0,0,0,-1,5,-2,-1,,,-1,-1,-1,299.0,50940,38225,ShmoeSoft,ShmoeSoft
86,1735120,Abandoned,abandoned,https://cdn.cloudflare.steamstatic.com/steam/apps/1735120/header.jpg?t=1633460436,-1,-1,5,5,-1,-1,2021-10-05,199,199,0,0,0,1,16,-2,-1,,,-1,-1,-1,199.0,52349,52349,Krenliper,Krenliper
87,1735140,Pushy Worm,pushy_worm,https://cdn.cloudflare.steamstatic.com/steam/apps/1735140/header.jpg?t=1643577158,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,8,-2,-1,,,-1,-1,-1,,52786,52786,Sid Fish Games,Sid Fish Games
88,1735150,The Last Tree,the_last_tree,https://cdn.cloudflare.steamstatic.com/steam/apps/1735150/header.jpg?t=1630924786,-1,-1,-1,-1,-1,-1,1970-01-01,0,0,0,0,1,-1,14,-2,-1,,,-1,-1,-1,,51389,51389,zzmingo,zzmingo
89,1735160,HAJWALA LINE,hajwala_line,https://cdn.cloudflare.steamstatic.com/steam/apps/1735160/header.jpg?t=1631875115,-1,-1,5,5,-1,-1,2021-09-17,699,999,0,0,0,1,15,-2,12635,,,-1,-1,-1,999.0,"51612,51613",51616,"Hamza Ahmad Alheet, Thaer Jlal Ahmad",HamzaAlheet
90,1735170,SlimeSlider,slimeslider,https://cdn.cloudflare.steamstatic.com/steam/apps/1735170/header.jpg?t=1637853830,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,5,-2,-1,,,-1,-1,-1,,51390,51390,mathgolfer,mathgolfer
91,1735280,NAGARE-BOSHI,nagare_boshi,https://cdn.cloudflare.steamstatic.com/steam/apps/1735280/header.jpg?t=1631345190,-1,-1,6,2,-1,-1,2021-09-11,199,199,0,0,0,1,17,-2,15320,,,-1,-1,-1,199.0,37073,35642,玫瑰工作室,玫瑰工作室
92,1735370,Necrowave,necrowave,https://cdn.cloudflare.steamstatic.com/steam/apps/1735370/header.jpg?t=1630614017,-1,-1,-1,-1,-1,-1,1970-01-01,0,0,0,0,1,-1,4,-2,-1,,,-1,-1,-1,,51615,51615,Arfhis The Wizard,Arfhis The Wizard
93,1735400,Dessert Tank: The Saga of Hansel and Gretel Prologue,dessert_tank_the_saga_of_hansel_and_gretel_prologue,https://cdn.cloudflare.steamstatic.com/steam/apps/1735400/header.jpg?t=1635559372,-1,-1,4,-1,-1,-1,2021-10-29,0,0,1,0,0,1,43,-2,-1,,,-1,-1,-1,,30017,19210,firepillar2,firepillar2
94,1735410,Pale Roots,pale_roots,https://cdn.cloudflare.steamstatic.com/steam/apps/1735410/header.jpg?t=1641684937,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,7,-2,-1,,,-1,-1,-1,,51716,51716,Joshua Carter,Joshua Carter
95,1735600,Rolling Balls,rolling_balls,https://cdn.cloudflare.steamstatic.com/steam/apps/1735600/header.jpg?t=1641259481,-1,-1,3,1,-1,-1,2021-12-31,420,420,0,0,0,-1,10,-2,14691,,,-1,-1,-1,,55290,55290,whitebox,whitebox
96,1735640,Farmers' Market,farmers_market,https://cdn.cloudflare.steamstatic.com/steam/apps/1735640/header.jpg?t=1639941343,-1,-1,1,-1,-1,-1,2021-10-01,399,399,0,0,0,-1,9,1,-1,,,-1,-1,-1,699.0,51614,51614,Bill2029 Studios,Bill2029 Studios
97,1735660,Monkey Mansion,monkey_mansion,https://cdn.cloudflare.steamstatic.com/steam/apps/1735660/header.jpg?t=1642724554,-1,-1,-1,-1,-1,-1,1970-01-01,0,0,0,0,1,-1,57,-2,-1,,,-1,-1,-1,,50939,50939,BaboYago,BaboYago
98,1735690,Planet Omnia,planet_omnia,https://cdn.cloudflare.steamstatic.com/steam/apps/1735690/header.jpg?t=1637897962,-1,-1,-1,-1,-1,-1,1970-01-01,0,0,0,0,1,-1,5,1,-1,,,-1,-1,-1,,55463,55463,Eyrie Interactive,Eyrie Interactive
99,1735700,Back to the Dawn,back_to_the_dawn,https://cdn.cloudflare.steamstatic.com/steam/apps/1735700/header.jpg?t=1643170513,-1,-1,-1,-1,-1,-1,2022-12-31,0,0,0,0,1,-1,127,-2,-1,,,-1,-1,-1,,54319,54319,Metal Head Games,Metal Head Games
100,1735790,Mystery Box - Hidden Secrets,mystery_box_hidden_secrets,https://cdn.cloudflare.steamstatic.com/steam/apps/1735790/header.jpg?t=1630305830,-1,-1,-1,-1,-1,-1,2021-09-30,0,0,0,0,1,-1,21,-2,-1,,,-1,-1,-1,,50938,50938,XScoder,XScoder
